title,publication_date,capture_time,language,domain,url,original_capture_url,archive_playback_url,article_url
"1 dead, 1 injured in shooting at San Leandro business; Police search for gunman",2023-10-25,2023-10-27T02:57:51Z,en,cbsnews.com,https://www.cbsnews.com/sanfrancisco/news/1-dead-1-injured-in-shooting-at-san-leandro-business-police-search-for-gunman/,https://web.archive.org/web/20231027025751id_/https://www.cbsnews.com/sanfrancisco/news/1-dead-1-injured-in-shooting-at-san-leandro-business-police-search-for-gunman/,https://web.archive.org/web/20231027025751/https://www.cbsnews.com/sanfrancisco/news/1-dead-1-injured-in-shooting-at-san-leandro-business-police-search-for-gunman/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGNic25ld3MpL3NhbmZyYW5jaXNjby9uZXdzLzEtZGVhZC0xLWluanVyZWQtaW4tc2hvb3RpbmctYXQtc2FuLWxlYW5kcm8tYnVzaW5lc3MtcG9saWNlLXNlYXJjaC1mb3ItZ3VubWFu
Man accused of opening fire on vehicle in Pittsburgh-area Target parking lot,2023-10-25,2023-10-26T02:28:47Z,en,cbsnews.com,https://www.cbsnews.com/pittsburgh/news/domestic-dispute-leads-to-shooting-in-target-parking-lot-on-mcknight-road/,https://web.archive.org/web/20231026022847id_/https://www.cbsnews.com/pittsburgh/news/domestic-dispute-leads-to-shooting-in-target-parking-lot-on-mcknight-road/,https://web.archive.org/web/20231026022847/https://www.cbsnews.com/pittsburgh/news/domestic-dispute-leads-to-shooting-in-target-parking-lot-on-mcknight-road/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGNic25ld3MpL3BpdHRzYnVyZ2gvbmV3cy9kb21lc3RpYy1kaXNwdXRlLWxlYWRzLXRvLXNob290aW5nLWluLXRhcmdldC1wYXJraW5nLWxvdC1vbi1tY2tuaWdodC1yb2Fk
Man charged in Sydney over daylight shooting of Melbourne gangland figure Gavin Preston,2023-10-25,2023-10-26T01:13:41Z,en,theguardian.com,https://www.theguardian.com/australia-news/2023/oct/25/gavin-preston-man-arrested-sydney-nsw-killing-fatal-shooting-melbourne-gangland-figure,https://web.archive.org/web/20231026011341id_/https://www.theguardian.com/australia-news/2023/oct/25/gavin-preston-man-arrested-sydney-nsw-killing-fatal-shooting-melbourne-gangland-figure,https://web.archive.org/web/20231026011341/https://www.theguardian.com/australia-news/2023/oct/25/gavin-preston-man-arrested-sydney-nsw-killing-fatal-shooting-melbourne-gangland-figure,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLHRoZWd1YXJkaWFuKS9hdXN0cmFsaWEtbmV3cy8yMDIzL29jdC8yNS9nYXZpbi1wcmVzdG9uLW1hbi1hcnJlc3RlZC1zeWRuZXktbnN3LWtpbGxpbmctZmF0YWwtc2hvb3RpbmctbWVsYm91cm5lLWdhbmdsYW5kLWZpZ3VyZQ~~
Record levels of illicit tobacco seized amid series of firebombing attacks in Melbourne,2023-10-25,2023-10-25T06:32:13Z,en,theguardian.com,https://www.theguardian.com/australia-news/2023/oct/25/melbourne-tobacco-shop-fire-firebomb-attacks-record-illicit-illegal-tobacco-seized,https://web.archive.org/web/20231025063213id_/https://www.theguardian.com/australia-news/2023/oct/25/melbourne-tobacco-shop-fire-firebomb-attacks-record-illicit-illegal-tobacco-seized,https://web.archive.org/web/20231025063213/https://www.theguardian.com/australia-news/2023/oct/25/melbourne-tobacco-shop-fire-firebomb-attacks-record-illicit-illegal-tobacco-seized,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLHRoZWd1YXJkaWFuKS9hdXN0cmFsaWEtbmV3cy8yMDIzL29jdC8yNS9tZWxib3VybmUtdG9iYWNjby1zaG9wLWZpcmUtZmlyZWJvbWItYXR0YWNrcy1yZWNvcmQtaWxsaWNpdC1pbGxlZ2FsLXRvYmFjY28tc2VpemVk
"Firearms instructor treated at mental health facility is person of interest in Maine mass shooting, police say",2023-10-25,2023-10-26T06:37:48Z,en,politico.com,https://www.politico.com/news/2023/10/25/active-shooter-lewiston-maine-00123672,https://web.archive.org/web/20231026063748id_/https://www.politico.com/news/2023/10/25/active-shooter-lewiston-maine-00123672,https://web.archive.org/web/20231026063748/https://www.politico.com/news/2023/10/25/active-shooter-lewiston-maine-00123672,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLHBvbGl0aWNvKS9uZXdzLzIwMjMvMTAvMjUvYWN0aXZlLXNob290ZXItbGV3aXN0b24tbWFpbmUtMDAxMjM2NzI~
Contra Costa County Coroner identifies teen killed in Oakley house party shooting,2023-10-25,2023-10-26T01:22:12Z,en,cbsnews.com,https://www.cbsnews.com/sanfrancisco/news/contra-costa-county-coroner-identifies-teen-killed-in-oakley-house-party-shooting/,https://web.archive.org/web/20231026012212id_/https://www.cbsnews.com/sanfrancisco/news/contra-costa-county-coroner-identifies-teen-killed-in-oakley-house-party-shooting/,https://web.archive.org/web/20231026012212/https://www.cbsnews.com/sanfrancisco/news/contra-costa-county-coroner-identifies-teen-killed-in-oakley-house-party-shooting/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGNic25ld3MpL3NhbmZyYW5jaXNjby9uZXdzL2NvbnRyYS1jb3N0YS1jb3VudHktY29yb25lci1pZGVudGlmaWVzLXRlZW4ta2lsbGVkLWluLW9ha2xleS1ob3VzZS1wYXJ0eS1zaG9vdGluZw~~
Hundreds flee deadly bushfire in Queensland to evacuation centres as NSW grass fires continue to burn,2023-10-25,2023-10-25T15:10:44Z,en,theguardian.com,https://www.theguardian.com/australia-news/2023/oct/25/queensland-fires-qld-bushfires-tara-death-emergency-level-fire-cypress-gardens-millmerran-downs,https://web.archive.org/web/20231025151044id_/https://www.theguardian.com/australia-news/2023/oct/25/queensland-fires-qld-bushfires-tara-death-emergency-level-fire-cypress-gardens-millmerran-downs,https://web.archive.org/web/20231025151044/https://www.theguardian.com/australia-news/2023/oct/25/queensland-fires-qld-bushfires-tara-death-emergency-level-fire-cypress-gardens-millmerran-downs,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLHRoZWd1YXJkaWFuKS9hdXN0cmFsaWEtbmV3cy8yMDIzL29jdC8yNS9xdWVlbnNsYW5kLWZpcmVzLXFsZC1idXNoZmlyZXMtdGFyYS1kZWF0aC1lbWVyZ2VuY3ktbGV2ZWwtZmlyZS1jeXByZXNzLWdhcmRlbnMtbWlsbG1lcnJhbi1kb3ducw~~
Fossil fuel firms spent millions on US lawmakers who sponsored anti-protest bills,2023-10-25,2023-10-26T01:36:52Z,en,theguardian.com,https://www.theguardian.com/us-news/2023/oct/25/fossil-fuel-company-donate-lawmakers-anti-protest-exxon-koch,https://web.archive.org/web/20231026013652id_/https://www.theguardian.com/us-news/2023/oct/25/fossil-fuel-company-donate-lawmakers-anti-protest-exxon-koch,https://web.archive.org/web/20231026013652/https://www.theguardian.com/us-news/2023/oct/25/fossil-fuel-company-donate-lawmakers-anti-protest-exxon-koch,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLHRoZWd1YXJkaWFuKS91cy1uZXdzLzIwMjMvb2N0LzI1L2Zvc3NpbC1mdWVsLWNvbXBhbnktZG9uYXRlLWxhd21ha2Vycy1hbnRpLXByb3Rlc3QtZXh4b24ta29jaA~~
‘Abusive’ suspect in Maryland judge murder accused of stuffing crying baby’s mouth with towel,2023-10-25,2023-10-26T04:03:47Z,en,foxnews.com,https://www.foxnews.com/us/abusive-suspect-maryland-judge-murder-accused-stuffing-crying-babys-mouth-with-towel,https://web.archive.org/web/20231026040347id_/https://www.foxnews.com/us/abusive-suspect-maryland-judge-murder-accused-stuffing-crying-babys-mouth-with-towel,https://web.archive.org/web/20231026040347/https://www.foxnews.com/us/abusive-suspect-maryland-judge-murder-accused-stuffing-crying-babys-mouth-with-towel,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGZveG5ld3MpL3VzL2FidXNpdmUtc3VzcGVjdC1tYXJ5bGFuZC1qdWRnZS1tdXJkZXItYWNjdXNlZC1zdHVmZmluZy1jcnlpbmctYmFieXMtbW91dGgtd2l0aC10b3dlbA~~
"Survivor of Hamas terror lost too many friends to count, says October 7 was ‘only the first shot’",2023-10-25,2023-10-26T02:03:50Z,en,foxnews.com,https://www.foxnews.com/media/survivor-hamas-terror-lost-many-friends-count-says-october-7-first-shot,https://web.archive.org/web/20231026020350id_/https://www.foxnews.com/media/survivor-hamas-terror-lost-many-friends-count-says-october-7-first-shot,https://web.archive.org/web/20231026020350/https://www.foxnews.com/media/survivor-hamas-terror-lost-many-friends-count-says-october-7-first-shot,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGZveG5ld3MpL21lZGlhL3N1cnZpdm9yLWhhbWFzLXRlcnJvci1sb3N0LW1hbnktZnJpZW5kcy1jb3VudC1zYXlzLW9jdG9iZXItNy1maXJzdC1zaG90
